time, lat, lon, total
010/05/12T17:00:33,51.543288,-0.095612,79.7
010/05/12T17:00:41,51.543152,-0.095554,79.7
010/05/12T17:00:52,51.542972,-0.095456,79.7
010/05/12T17:01:01,51.542848,-0.095361,79.7
010/05/12T17:01:10,51.542713,-0.095268,25.5
010/05/12T17:01:17,51.542583,-0.095186,25.5
010/05/12T17:01:24,51.542436,-0.095104,104.6
010/05/12T17:01:28,51.542301,-0.095028,104.6
010/05/12T17:01:37,51.542171,-0.094899,104.6
010/05/12T17:01:47,51.542044,-0.094794,72.2
010/05/12T17:01:55,51.541918,-0.094689,141.8
010/05/12T17:02:09,51.541748,-0.094584,36.2
010/05/12T17:02:18,51.541603,-0.094485,36.2
010/05/12T17:02:25,51.541431,-0.094308,39
010/05/12T17:02:57,51.541302,-0.094382,47.7
010/05/12T17:03:04,51.541245,-0.094361,47.7
010/05/12T17:03:21,51.541208,-0.094130,59.2
010/05/12T17:03:28,51.541185,-0.093973,43.9
010/05/12T17:03:32,51.541109,-0.093768,43.9
010/05/12T17:03:40,51.540999,-0.093478,82.9
010/05/12T17:03:45,51.540923,-0.093293,82.9
010/05/12T17:03:50,51.540827,-0.093118,82.9
010/05/12T17:03:58,51.540725,-0.092951,70.6
010/05/12T17:04:08,51.540620,-0.092761,75.4
010/05/12T17:04:23,51.540484,-0.092736,65
010/05/12T17:04:36,51.540374,-0.092554,65
010/05/12T17:04:52,51.540241,-0.092359,12
010/05/12T17:05:01,51.540134,-0.092203,38
010/05/12T17:05:10,51.540018,-0.092036,6.9
010/05/12T17:05:18,51.539913,-0.091869,6.9
010/05/12T17:05:24,51.539819,-0.091704,41.2
010/05/12T17:05:31,51.539721,-0.091541,41.2
010/05/12T17:05:43,51.539581,-0.091454,39.6
010/05/12T17:05:44,51.539565,-0.091441,39.6
010/05/12T17:05:58,51.539447,-0.091215,43.4
010/05/12T17:06:15,51.539317,-0.091084,38.7
010/05/12T17:06:30,51.539153,-0.090842,51.2
010/05/12T17:06:37,51.539021,-0.090593,51.2
010/05/12T17:06:43,51.538941,-0.090429,27.7
010/05/12T17:06:53,51.538850,-0.090265,37.8
010/05/12T17:06:55,51.538839,-0.090248,37.8
010/05/12T17:07:14,51.538696,-0.090052,53.1
010/05/12T17:07:23,51.538576,-0.089915,42.3
010/05/12T17:07:28,51.538395,-0.089657,42.3
010/05/12T17:07:29,51.538395,-0.089657,42.3
010/05/12T17:07:43,51.538243,-0.089487,33.5
010/05/12T17:07:58,51.538119,-0.089257,24.3
010/05/12T17:08:00,51.538119,-0.089257,24.3
010/05/12T17:08:12,51.537980,-0.089237,63
010/05/12T17:08:28,51.537920,-0.089043,25.1
010/05/12T17:08:43,51.537888,-0.088747,52
010/05/12T17:08:58,51.537872,-0.088443,24.1
010/05/12T17:09:13,51.537829,-0.088136,46.7
010/05/12T17:09:37,51.537791,-0.087682,41.2
010/05/12T17:09:47,51.537552,-0.087324,48.2
010/05/12T17:09:52,51.537465,-0.087160,48.2
010/05/12T17:09:54,51.537366,-0.087009,13.8
010/05/12T17:10:03,51.537270,-0.086813,13.8
010/05/12T17:10:06,51.537268,-0.086722,13.8
010/05/12T17:10:20,51.537107,-0.086609,36.1
010/05/12T17:10:27,51.536975,-0.086656,40.3
010/05/12T17:10:36,51.536832,-0.086632,40.3
010/05/12T17:10:44,51.536693,-0.086609,58.4
010/05/12T17:10:52,51.536562,-0.086553,58.4
010/05/12T17:10:59,51.536431,-0.086434,36.6
010/05/12T17:11:06,51.536329,-0.086316,36.6
010/05/12T17:11:17,51.536180,-0.086330,47.9
010/05/12T17:11:27,51.536083,-0.086493,39.3
010/05/12T17:11:49,51.535996,-0.086314,57.3
010/05/12T17:11:56,51.536010,-0.086090,42.3
010/05/12T17:11:58,51.536013,-0.086076,42.3
010/05/12T17:12:06,51.536039,-0.085845,42.3
010/05/12T17:12:16,51.536105,-0.085624,34.9
010/05/12T17:12:47,51.536138,-0.085126,39.1
010/05/12T17:12:49,51.536139,-0.085063,39.1
010/05/12T17:12:57,51.536140,-0.084796,11.1
010/05/12T17:13:05,51.536144,-0.084535,11.1
010/05/12T17:13:15,51.536121,-0.084301,30.6
010/05/12T17:13:22,51.536088,-0.084059,30.6
010/05/12T17:13:30,51.536031,-0.083822,18.5
010/05/12T17:13:33,51.536010,-0.083759,18.5
010/05/12T17:13:46,51.535943,-0.083570,33.9
010/05/12T17:13:57,51.535875,-0.083357,86.1
010/05/12T17:14:07,51.535823,-0.083202,86.1
010/05/12T17:14:14,51.535744,-0.082925,85.9
010/05/12T17:14:20,51.535680,-0.082733,85.9
010/05/12T17:14:27,51.535583,-0.082590,57.4
010/05/12T17:14:35,51.535428,-0.082508,57.4
010/05/12T17:14:45,51.535260,-0.082485,83.1
010/05/12T17:14:52,51.535123,-0.082496,83.1
010/05/12T17:15:18,51.535057,-0.082286,72.9
010/05/12T17:15:32,51.535058,-0.082065,23.5
010/05/12T17:15:49,51.535058,-0.082065,19.7
